Priority,Firm,Segment,City,Needs,Thesis
1,10 Point Capital,"Restaurant, hospitality & nightlife",Atlanta,named partner + verified email,Partners with founders and operating executives of multi-unit and franchise businesses.
2,Bain Capital,"Restaurant, hospitality & nightlife",Boston,named partner + verified email,Has owned major restaurant platforms and holds current restaurant positions.
3,Base10 Partners,"Restaurant, hospitality & nightlife",San Francisco,named partner + verified email,"Invests in the automation of the real economy, including restaurant technology."
4,Best Nights VC,"Restaurant, hospitality & nightlife",New York,named partner + verified email,"Boutique early-stage fund backing nightlife, hospitality-tech and consumer experience startups reimagining how people gather socially."
5,Blackstone,"Restaurant, hospitality & nightlife",New York,named partner + verified email,Global private equity with an active restaurant franchise portfolio.
6,Branded Hospitality Ventures,"Restaurant, hospitality & nightlife",New York,named partner + verified email,"Investment and advisory platform for hospitality and foodservice, focused on technology-driven and innovative food and beverage concepts that improve guest expe"
7,Cleveland Avenue,"Restaurant, hospitality & nightlife",Chicago,verified email,"Chicago venture firm investing in restaurant, food tech and beverage companies across North America, founded by the former CEO of McDonald's."
8,Craft Ventures,"Restaurant, hospitality & nightlife",San Francisco,named partner + verified email,Early-stage fund active in restaurant and hospitality software.
9,Derive Ventures,"Restaurant, hospitality & nightlife",,named partner + verified email,"Early-stage travel and hospitality investor, founded 2022."
10,Enlightened Hospitality Investments,"Restaurant, hospitality & nightlife",New York,named partner + verified email,"Union Square Hospitality Group's fund, investing with 30+ years of restaurant operating experience behind it."
11,GPS Hospitality,"Restaurant, hospitality & nightlife",Atlanta,named partner + verified email,Large multi-brand franchisee operation approaching 500 units.
12,HighSage Ventures,"Restaurant, hospitality & nightlife",Boston,named partner + verified email,Investor active in restaurant technology.
13,Insight Partners,"Restaurant, hospitality & nightlife",New York,named partner + verified email,Growth investor across software including restaurant technology.
14,Jaws Ventures,"Restaurant, hospitality & nightlife",Miami,named partner + verified email,Barry Sternlicht-affiliated vehicle investing across hospitality and consumer.
15,KKR,"Restaurant, hospitality & nightlife",New York,named partner + verified email,Global private equity active in restaurant buyouts.
16,KarpReilly,"Restaurant, hospitality & nightlife",Greenwich,verified email,"Growth-stage investor across retail, direct-to-consumer, e-commerce, restaurants, apparel and branded consumer products."
17,Kitchen Fund,"Restaurant, hospitality & nightlife",New York,named partner + verified email,Early-stage specialist investing exclusively in restaurant innovation.
18,Left Lane Capital,"Restaurant, hospitality & nightlife",New York,named partner + verified email,Growth investor in consumer internet businesses.
19,Mast-Jagermeister Ventures,"Restaurant, hospitality & nightlife",,named partner + verified email,"Jagermeister's venture arm investing in nightlife technology, social platforms and community-driven hospitality."
20,Menlo Ventures,"Restaurant, hospitality & nightlife",San Francisco,named partner + verified email,Multi-stage investor active in restaurant technology.
21,NBK Capital Partners,"Restaurant, hospitality & nightlife",,named partner + verified email,"Regional private equity active in restaurant deals, $875M in commitments."
22,NYCA Partners,"Restaurant, hospitality & nightlife",New York,named partner + verified email,Fintech and payments investor active in restaurant technology.
23,Preface Ventures,"Restaurant, hospitality & nightlife",New York,named partner + verified email,Technology-focused firm evaluating software margins and customer acquisition cost.
24,QED Investors,"Restaurant, hospitality & nightlife",Alexandria,named partner + verified email,Fintech specialist focused on embedded payments; backed Toast.
25,Redpoint Ventures,"Restaurant, hospitality & nightlife",Menlo Park,named partner + verified email,Early-stage investor; Series A investor in Olo before its IPO.
26,Roark Capital,"Restaurant, hospitality & nightlife",Atlanta,named partner + verified email,"The largest restaurant-focused private equity platform, built around franchised multi-unit brands."
27,Rosser Capital Partners,"Restaurant, hospitality & nightlife",,named partner + verified email,"Restaurant-focused investor with flexible targets, backing emerging concepts."
28,Savory Fund,"Restaurant, hospitality & nightlife",Salt Lake City,named partner + verified email,"Invests in emerging restaurant concepts, providing capital and operating expertise to scale them into multi-unit brands beyond their founding region."
29,Sun Capital Partners,"Restaurant, hospitality & nightlife",Boca Raton,named partner + verified email,Named among the top private equity investors for the restaurant industry.
30,TCV,"Restaurant, hospitality & nightlife",Menlo Park,named partner + verified email,Growth-stage technology investor.
31,Thayer Investment Partners,"Restaurant, hospitality & nightlife",San Francisco,named partner + verified email,Early-stage travel and hospitality technology; formed by the combination of Thayer Ventures and Derive Ventures.
32,Thoma Bravo,"Restaurant, hospitality & nightlife",Chicago,named partner + verified email,Software-focused private equity active in restaurant technology.
33,Trive Capital,"Restaurant, hospitality & nightlife",Dallas,named partner + verified email,Equity and debt in middle-market companies with transformational upside through operational improvement.
34,Union Square Ventures,"Restaurant, hospitality & nightlife",New York,named partner + verified email,Thesis-driven early-stage investor active in restaurant and marketplace software.
35,1st Course Capital,Food & beverage / CPG specialist,San Francisco,named partner + verified email,Early-stage investor in food and agriculture technology.
36,AF Ventures,Food & beverage / CPG specialist,New York,named partner + verified email,Active food and beverage investor backing emerging consumer brands.
37,AgFunder,Food & beverage / CPG specialist,San Francisco,named partner + verified email,"Global venture firm backing deeptech across food and agriculture, AI, biotech and robotics."
38,Alliance Consumer Growth,Food & beverage / CPG specialist,New York,named partner + verified email,"Invests in emerging consumer, food and beverage and retail brands."
39,Almanac Investments,Food & beverage / CPG specialist,,named partner + verified email,Supports innovative food and beverage startups.
40,Ankur Capital,Food & beverage / CPG specialist,,named partner + verified email,Early-stage investor across food and agriculture.
41,Anterra Capital,Food & beverage / CPG specialist,,named partner + verified email,Backs startups and entrepreneurs building a healthier food system.
42,Astanor Ventures,Food & beverage / CPG specialist,,named partner + verified email,"Backs entrepreneurs regenerating the food, blue ocean economy and agriculture sectors."
43,Barrel Ventures,Food & beverage / CPG specialist,,named partner + verified email,Early-stage food and beverage investor.
44,BeliV,Food & beverage / CPG specialist,,named partner + verified email,Beverage-focused investor.
45,Better Food Ventures,Food & beverage / CPG specialist,San Francisco,named partner + verified email,Early-stage investor funding concept-to-market food technology startups.
46,Big Idea Ventures,Food & beverage / CPG specialist,New York,named partner + verified email,Venture fund focused on the plant-based and alternative protein food sector.
47,Blue Horizon,Food & beverage / CPG specialist,,named partner + verified email,Supports later rounds for scaling production and global expansion in sustainable food.
48,Boulder Food Group,Food & beverage / CPG specialist,Boulder,verified email,Partners with early-stage food and beverage consumer product companies.
49,Branch Venture Group,Food & beverage / CPG specialist,Boston,named partner + verified email,"Boston investment network providing funding and advice to early-stage food companies across food and beverage CPG, foodtech and agtech."
50,Bread and Butter Ventures,Food & beverage / CPG specialist,Minneapolis,named partner + verified email,"Seed investor across food, agriculture and health."
51,CAVU Consumer Partners,Food & beverage / CPG specialist,Austin,verified email,"Invests in the better-for-you consumer sector across food, beverage and wellness, from seed to late stage, with hands-on marketing and operating support."
52,Castanea Partners,Food & beverage / CPG specialist,Boston,named partner + verified email,Consumer-focused growth investor.
53,Clear Current Capital,Food & beverage / CPG specialist,,named partner + verified email,Invests in plant-based and alternative protein startups.
54,Coefficient Capital,Food & beverage / CPG specialist,New York,named partner + verified email,"Consumer sector specialist targeting innovative brands across food and beverage, beauty and wellness, engaging from pre-seed through Series A."
55,District Ventures Capital,Food & beverage / CPG specialist,Calgary,verified email,Invests in innovative food and health sector companies.
56,Five Seasons Ventures,Food & beverage / CPG specialist,,named partner + verified email,European food and agriculture technology venture fund.
57,FoodLabs,Food & beverage / CPG specialist,,named partner + verified email,Early-stage food technology and sustainability investor.
58,Fresh Source Capital,Food & beverage / CPG specialist,Boston,named partner + verified email,"Funds companies whose products, services and technologies provide better food to consumers and institutions."
59,InvestBev,Food & beverage / CPG specialist,Chicago,verified email,"Private equity dedicated to the adult beverage industry: brands, raw distillate, beverage technology and cannabis beverage."
60,Manna Tree Partners,Food & beverage / CPG specialist,,named partner + verified email,"Invests in companies that empower consumers to live better, longer lives through improved health and wellness."
61,Melitas Ventures,Food & beverage / CPG specialist,,named partner + verified email,Invests in emerging food and beverage brands.
62,PeakBridge,Food & beverage / CPG specialist,,named partner + verified email,"Global impact venture fund connecting the people, technology and processes shaping the future of food, from early stage to Series A-B."
63,PowerPlant Partners,Food & beverage / CPG specialist,Los Angeles,named partner + verified email,"Growth equity for emerging consumer food, beverage, foodservice, food-tech and personal wellness brands, founded by the creators of ZICO coconut water."
64,Prelude Growth Partners,Food & beverage / CPG specialist,New York,named partner + verified email,Growth investor in high-growth consumer brands.
65,Ridgeline Ventures,Food & beverage / CPG specialist,,named partner + verified email,Backs emerging food and beverage and consumer companies.
66,Rocana Venture Partners,Food & beverage / CPG specialist,,named partner + verified email,"Early-stage food and beverage with an emphasis on wellness-oriented products, functional beverages and plant-based categories."
67,S2G Investments,Food & beverage / CPG specialist,Chicago,named partner + verified email,"Multi-stage investor across food and agriculture, oceans and energy, backing healthier and more sustainable systems from seed to post-IPO."
68,Sandbox Industries,Food & beverage / CPG specialist,Chicago,named partner + verified email,"Invests across food, agriculture and adjacent sectors."
69,Selva Ventures,Food & beverage / CPG specialist,San Francisco,named partner + verified email,"Backs emerging consumer brands improving health and wellness, prioritising clean ingredients, typically before $10M in annual sales."
70,Sherbrooke Capital,Food & beverage / CPG specialist,Boston,named partner + verified email,"Growth capital exclusively for emerging consumer companies in the healthy, active and sustainable living market."
71,Siddhi Capital,Food & beverage / CPG specialist,,named partner + verified email,"Growth-stage CPG brands providing restaurant-quality foods and beverages, plus food-tech; roughly two-thirds CPG and one-third food-tech."
72,Sonoma Brands Capital,Food & beverage / CPG specialist,Sonoma,named partner + verified email,"Minority and control investments in growth-stage consumer businesses, typically above $5M in sales."
73,Springdale Ventures,Food & beverage / CPG specialist,Austin,verified email,"Emerging consumer brands across food, beverage, pet, health and beauty at seed through Series A."
74,Stray Dog Capital,Food & beverage / CPG specialist,Kansas City,named partner + verified email,Emerging plant-based brands and alternative protein.
75,Sunrise Strategic Partners,Food & beverage / CPG specialist,Boulder,verified email,"Growth capital and operating expertise for emerging food and beverage brands in the healthy, active and sustainable living space."
76,Trailhead Capital,Food & beverage / CPG specialist,Boulder,named partner + verified email,Seed and early-stage investor in regenerative food and agriculture.
77,VMG Partners,Food & beverage / CPG specialist,San Francisco,named partner + verified email,"Invests seed through private equity in food, beverage, beauty and personal care brands."
78,305 Ventures,Miami / Florida,Miami,named partner + verified email,Miami early-stage fund.
79,ANIMO Ventures,Miami / Florida,Miami,named partner + verified email,Miami-based early-stage venture firm.
80,Accelerated Growth Partners,Miami / Florida,Miami,named partner + verified email,Florida angel and early-stage investment group.
81,Acronym Venture Capital,Miami / Florida,Miami,named partner + verified email,Miami seed investor.
82,Alpaca VC,Miami / Florida,Miami,named partner + verified email,"Invests across proptech, consumer and commerce."
83,Alpha Wave Global,Miami / Florida,Miami,named partner + verified email,Global investment firm with Miami presence.
84,Arrington Capital,Miami / Florida,Miami,named partner + verified email,Digital asset investor with Miami activity.
85,Atomic,Miami / Florida,Miami,named partner + verified email,"Venture studio combining ideas, talent and capital to build companies in parallel."
86,Axioma Ventures,Miami / Florida,Tampa,named partner + verified email,Tampa-area firm whose team includes the former CEO of Publix.
87,Beni VC,Miami / Florida,Miami,named partner + verified email,Miami early-stage fund.
88,Beresford Ventures,Miami / Florida,Miami,named partner + verified email,Miami seed investor.
89,Black Angels Miami,Miami / Florida,Miami,named partner + verified email,Miami angel group backing founders across sectors.
90,Bling Capital,Miami / Florida,Miami,named partner + verified email,Early-stage investor.
91,Blue Cloud Ventures,Miami / Florida,Miami,named partner + verified email,Growth-stage software investor.
92,Blumberg Capital,Miami / Florida,Miami,verified email,Early-stage investor with Miami presence.
93,Boldstart Ventures,Miami / Florida,New York,named partner + verified email,Pre-seed enterprise investor listed among firms active in Miami.
94,Clerisy,Miami / Florida,Miami,named partner + verified email,Consumer-oriented venture firm.
95,Costanoa Ventures,Miami / Florida,San Francisco,named partner + verified email,Early-stage enterprise investor listed among firms active in Miami.
96,Crew VC,Miami / Florida,Miami,named partner + verified email,Miami early-stage fund.
97,DeepWork Capital,Miami / Florida,Orlando,named partner + verified email,Florida early-stage venture firm.
98,Duna Ventures,Miami / Florida,Miami,named partner + verified email,Miami early-stage fund.
99,Embarc Collective,Miami / Florida,Tampa,named partner + verified email,"Tampa accelerator supporting early-stage companies with space, mentorship and investor connections."
100,Exceptional Capital,Miami / Florida,Miami,named partner + verified email,Miami firm founded 2022 focused on pre-seed and seed Enterprise SaaS.
101,Fin Capital,Miami / Florida,Miami,named partner + verified email,Fintech-focused firm with Miami presence.
102,Florida Funders,Miami / Florida,Tampa,named partner + verified email,Southeast venture firm investing in early-stage B2B technology from pre-seed through Series B.
103,Focal VC,Miami / Florida,Miami,named partner + verified email,Miami early-stage fund.
104,Form Capital,Miami / Florida,Miami,named partner + verified email,Miami early-stage fund.
105,Fuel Venture Capital,Miami / Florida,Miami,named partner + verified email,"Partners with founders from seed to growth across technology, with a Latin America connection."
106,Future Perfect Ventures,Miami / Florida,Miami,named partner + verified email,Early-stage investor.
107,GTM Capital,Miami / Florida,Miami,named partner + verified email,Miami-based seed fund.
108,Gold Coast Angel Investors,Miami / Florida,Fort Lauderdale,named partner + verified email,South Florida angel group.
109,Guild Capital,Miami / Florida,Miami,named partner + verified email,Contrarian thesis backing early-growth founders before conventional metrics catch up.
110,Harlem Capital,Miami / Florida,New York,named partner + verified email,Backs diverse founders across consumer and technology.
111,Krillion Ventures,Miami / Florida,Miami,named partner + verified email,"Miami-focused firm investing in early-stage health, finance and consumer technology."
112,Las Olas Venture Capital,Miami / Florida,Fort Lauderdale,named partner + verified email,Early-stage investor primarily in B2B software.
113,Lightship Capital,Miami / Florida,Miami,named partner + verified email,Invests in underrepresented founders across consumer and healthcare.
114,Medina Capital,Miami / Florida,Miami,verified email,Miami growth investor.
115,Miami Angels,Miami / Florida,Miami,named partner + verified email,"Angel network whose members collectively invest $200K-$500K in seed companies, often co-investing with institutional funds."
116,Motivate Venture Capital,Miami / Florida,Chicago,named partner + verified email,Pre-seed and seed investor active across the Midwest and Southeast.
117,New World Angels,Miami / Florida,Boca Raton,named partner + verified email,Florida angel investor group.
118,Ocean Azul Partners,Miami / Florida,Miami,named partner + verified email,Early-stage and seed investor writing $200K-$3M.
119,Original Capital,Miami / Florida,Miami,named partner + verified email,Miami early-stage investor.
120,Pareto Holdings,Miami / Florida,Miami,named partner + verified email,Miami-based early-stage investor and ecosystem builder.
121,Point72 Ventures,Miami / Florida,New York,named partner + verified email,Multi-stage venture arm listed among firms active in Miami.
122,RRE Ventures,Miami / Florida,New York,named partner + verified email,Early-stage generalist listed among firms active in Miami.
123,Reign Ventures,Miami / Florida,Miami,named partner + verified email,Early-stage investor.
124,Rokk3r,Miami / Florida,Miami,named partner + verified email,Venture builder creating companies from scratch.
125,SaaS Ventures,Miami / Florida,Miami,named partner + verified email,Seed investor in B2B software.
126,Secocha Ventures,Miami / Florida,Miami,named partner + verified email,"Early-stage B2C investor, predominantly fintech, digital health and consumer products and services."
127,Seven Seven Six,Miami / Florida,Miami,named partner + verified email,Early-stage firm with Miami roots.
128,Starlight Ventures,Miami / Florida,Miami,named partner + verified email,Miami-based investor in foundational technologies.
129,TheVentureCity,Miami / Florida,Miami,named partner + verified email,Combines capital with operational support; 40+ Miami-based portfolio companies.
130,Thundermark Capital,Miami / Florida,Miami,named partner + verified email,Seed investor in AI and technology.
131,Valhalla Ventures,Miami / Florida,Miami,named partner + verified email,Miami-based seed investor.
132,Valor Equity Partners,Miami / Florida,Chicago,named partner + verified email,"Operations-focused growth investor, active in Miami."
133,Zelkova Ventures,Miami / Florida,Miami,named partner + verified email,Early-stage generalist.
134,Zenda Capital,Miami / Florida,Miami,named partner + verified email,Miami seed investor.
135,301 INC,Corporate venture arm,Minneapolis,named partner + verified email,"General Mills' venture arm, investing in emerging food and beverage brands."
136,Companion Fund,Corporate venture arm,,named partner + verified email,Mars-backed fund investing alongside consumer brands.
137,Cultivate Ventures,Corporate venture arm,,named partner + verified email,Hain Celestial's platform investing in lifestyle brands and emerging concepts.
138,Danone Manifesto Ventures,Corporate venture arm,New York,named partner + verified email,"Danone's venture arm supporting companies that promote healthier, more sustainable eating practices."
139,Evolv Ventures,Corporate venture arm,Chicago,named partner + verified email,Kraft Heinz-backed venture fund investing in technology across the food ecosystem.
140,Shopify Ventures,Corporate venture arm,Toronto,named partner + verified email,Strategic capital into startups that enhance the commerce ecosystem.
141,SnackFutures Ventures,Corporate venture arm,Chicago,named partner + verified email,"Mondelez International's corporate venture arm, pushing the boundaries of snacking."
142,Tyson Ventures,Corporate venture arm,Springdale,named partner + verified email,"Tyson Foods' venture arm, investing in breakthrough technologies, business models and products across food."
143,Unilever Ventures,Corporate venture arm,,named partner + verified email,"Unilever's venture arm, a strategic CPG partner to consumer brands."
144,Dom Capital Group,Family office,Chicago,named partner + verified email,Single-family office with roots in a 1918 family deli and food store.
145,Elysium Management,Family office,New York,named partner + verified email,"Private equity and direct investments in retail, food and beverage, restaurants, hospitality and franchises."
